name,sample,date,events
library_O3,library_O3,16-MAY-2022,94549
library_O3_001,library_O3_001,16-MAY-2022,48450
library_O3_002,library_O3_002,16-MAY-2022,95537
library_O3b_003,library_O3b_003,16-MAY-2022,445159
library_O3b_004,library_O3b_004,16-MAY-2022,87265
O3-,O3-,18-MAY-2022,94324
O3,O3,18-MAY-2022,450174
O3_001,O3_001,18-MAY-2022,90646
O3b,O3b,18-MAY-2022,535190
O3b_001,O3b_001,18-MAY-2022,95158
O3_01,O3,26-OCT-2022,522103
O3b_01,O3b,26-OCT-2022,395055
E1,E1,26-OCT-2022,432104
E1b,E1b,26-OCT-2022,429681
O4,O4,27-OCT-2022,414938
O4b,O4b,27-OCT-2022,436634
E1_01,E1,27-OCT-2022,416724
E1b_01,E1b,27-OCT-2022,437994
O4_01,O4,07-DEC-2022,459863
O4b_01,O4b,07-DEC-2022,441616
E2,E2,07-DEC-2022,450704
E2b,E2b,07-DEC-2022,438874
O4b 1,O4b 1,07-DEC-2022,1879
O4b 2,O4b 2,07-DEC-2022,1856
O4b 3,O4b 3,07-DEC-2022,1871
O4b 4,O4b 4,07-DEC-2022,1870
E2 1,E2 1,07-DEC-2022,2338
E2 2,E2 2,07-DEC-2022,1867
E2 3,E2 3,07-DEC-2022,1901
E2 4,E2 4,07-DEC-2022,1868
O4_02,O4,08-DEC-2022,457110
O4b_02,O4b,08-DEC-2022,456976
E2_01,E2,08-DEC-2022,472293
E2b_01,E2b,08-DEC-2022,457512
CT1 I,CT1 I,16-DEC-2022,466794
CT1 II,CT1 II,16-DEC-2022,443495
E2_02,E2,16-DEC-2022,453121
E2b_02,E2b,16-DEC-2022,450821
CT1 III,CT1 III,16-DEC-2022,433593
CT1 Ib,CT1 Ib,16-DEC-2022,435210
CT1 IIb,CT1 IIb,16-DEC-2022,439215
CT1 IIIb,CT1 IIIb,16-DEC-2022,431294
E1_001,E1_001,30-MAY-2022,220910
E1_02,E1,30-MAY-2022,234749
E1b_001,E1b_001,30-MAY-2022,84381
E1b_02,E1b,30-MAY-2022,441060
