"","sample","lib","coverage","ctrl_cover","all","mapped","controls","mapped_other_lib","unmapped","unmapped_bad_len"
"1","16-12-E2-1_S17","even2",83.2782971951462,50,7600221,4916153,3499,5122,663617,81558
"2","16-12-E2-1b_S21","even2",82.2597970956833,69.2307692307692,7191463,4673183,3254,3929,606339,72641
"3","16-12-E2-1br_S45","even2",84.0501293017704,57.6923076923077,7308506,4733043,3220,3645,606319,72921
"4","16-12-E2-1r_S41","even2",80.5390889198329,76.9230769230769,6875908,4415133,3267,3356,546571,66446
"5","16-12-E2-2_S18","even2",93.7139446986274,88.4615384615385,9603271,6138622,3057,5108,853458,115359
"6","16-12-E2-2b_S22","even2",83.3857171275114,65.3846153846154,5925908,3848527,1813,1262,426501,55922
"7","16-12-E2-2br_S46","even2",87.1334792122538,80.7692307692308,6581580,4223883,2156,1727,478021,63017
"8","16-12-E2-2r_S42","even2",87.4497712353292,80.7692307692308,6509983,4244850,2054,1703,475102,60829
"9","16-12-E2-3_S19","even2",93.3101253232544,80.7692307692308,8174729,5302403,1662,3337,678306,89507
"10","16-12-E2-3b_S23","even2",86.0334195345136,65.3846153846154,5793647,3679907,1291,1215,381793,48601
"11","16-12-E2-3br_S47","even2",89.5862343345932,65.3846153846154,6464649,4195671,1417,1949,470169,59779
"12","16-12-E2-3r_S43","even2",87.7242888402626,61.5384615384615,6122106,4003158,1282,1330,434816,55944
"13","16-12-E2-4_S20","even2",85.8185796697832,65.3846153846154,7678093,4984962,2065,5409,686171,94221
"14","16-12-E2-4b_S24","even2",84.6588422518401,73.0769230769231,7192550,4686428,1985,4398,616058,81453
"15","16-12-E2-4br_S48","even2",82.2259797095683,57.6923076923077,6413133,4206675,1786,3082,512325,66425
"16","16-12-E2-4r_S44","even2",81.3666202506465,61.5384615384615,6672426,4349023,1713,3506,556080,72451
"17","16-12-I-CT1-1_S49","ct1",96.055906567107,92.3076923076923,968321,652541,5254,10,99947,12901
"18","16-12-I-CT1-1b_S53","ct1",96.994064713766,92.3076923076923,1224315,816953,7095,11,136023,16148
"19","16-12-I-CT1-1br_S61","ct1",95.9793222286042,92.3076923076923,1044995,699375,6004,15,105817,12675
"20","16-12-I-CT1-1r_S57","ct1",96.5154125981237,92.3076923076923,1058185,714021,6217,45,113234,14372
"21","16-12-I-CT1-2_S50","ct1",96.1133448209841,92.3076923076923,943306,625458,5888,17,93251,14320
"22","16-12-I-CT1-2b_S54","ct1",97.3195481524028,92.3076923076923,1123831,748258,7283,20,122723,19143
"23","16-12-I-CT1-2br_S62","ct1",87.3061458931648,92.3076923076923,622537,413746,4127,0,50833,8445
"24","16-12-I-CT1-2r_S58","ct1",98.7555044993299,92.3076923076923,1204073,804078,7456,10,127801,19255
"25","16-12-I-CT1-3_S51","ct1",97.4152785755313,92.3076923076923,905240,609176,3497,5,89626,11983
"26","16-12-I-CT1-3b_S55","ct1",98.6406279915757,92.3076923076923,1216044,819247,4523,15,129779,17534
"27","16-12-I-CT1-3br_S63","ct1",97.6641776756653,92.3076923076923,921654,620126,3414,0,87021,12102
"28","16-12-I-CT1-3r_S59","ct1",95.8644457208501,92.3076923076923,804841,539279,2982,27,73986,10250
"29","16-12-I-CT1-4_S52","ct1",97.8939306911737,92.3076923076923,1274366,864331,7346,11,141455,16191
