file,lib,gate,bio_rep,facs_rep,tech_rep,seq,note
16-12-II-CT1-3_S51,ct1,3,2,1,1,3,
16-12-II-CT1-3b_S55,ct1,3,2,2,1,3,
16-12-II-CT1-3br_S63,ct1,3,2,2,2,3,
16-12-II-CT1-3r_S59,ct1,3,2,1,2,3,
16-12-II-CT1-4_S52,ct1,4,2,1,1,3,
16-12-II-CT1-4b_S56,ct1,4,2,2,1,3,
16-12-II-CT1-4br_S64,ct1,4,2,2,2,3,
16-12-II-CT1-4r_S60,ct1,4,2,1,2,3,
16-12-III-CT1-1_S49,ct1,1,3,1,1,4,
16-12-III-CT1-1b_S53,ct1,1,3,2,1,4,
16-12-III-CT1-1br_S61,ct1,1,3,2,2,4,
16-12-III-CT1-1r_S57,ct1,1,3,1,2,4,
16-12-III-CT1-2_S50,ct1,2,3,1,1,4,No reads
16-12-III-CT1-2b_S54,ct1,2,3,2,1,4,
16-12-III-CT1-2br_S62,ct1,2,3,2,2,4,
16-12-III-CT1-2r_S58,ct1,2,3,1,2,4,Double reads
16-12-III-CT1-3_S51,ct1,3,3,1,1,4,
16-12-III-CT1-3b_S55,ct1,3,3,2,1,4,
16-12-III-CT1-3br_S63,ct1,3,3,2,2,4,
16-12-III-CT1-3r_S59,ct1,3,3,1,2,4,
16-12-III-CT1-4_S52,ct1,4,3,1,1,4,
16-12-III-CT1-4b_S56,ct1,4,3,2,1,4,
16-12-III-CT1-4br_S64,ct1,4,3,2,2,4,
16-12-III-CT1-4r_S60,ct1,4,3,1,2,4,
16-5-O3-1_S9,odd3,1,1,1,1,1,
16-5-O3-1b_S13,odd3,1,1,2,1,1,
16-5-O3-1br_S37,odd3,1,1,2,2,1,
16-5-O3-1r_S33,odd3,1,1,1,2,1,
16-5-O3-2_S10,odd3,2,1,1,1,1,
16-5-O3-2b_S14,odd3,2,1,2,1,1,
16-5-O3-2br_S38,odd3,2,1,2,2,1,
16-5-O3-2r_S34,odd3,2,1,1,2,1,
16-5-O3-3_S11,odd3,3,1,1,1,1,
16-5-O3-3b_S15,odd3,3,1,2,1,1,
16-5-O3-3br_S39,odd3,3,1,2,2,1,
16-5-O3-3r_S35,odd3,3,1,1,2,1,
16-5-O3-4_S12,odd3,4,1,1,1,1,
16-5-O3-4b_S16,odd3,4,1,2,1,1,
16-5-O3-4br_S40,odd3,4,1,2,2,1,
16-5-O3-4r_S36,odd3,4,1,1,2,1,
18-5-O3-1_S1,odd3,1,2,1,1,1,
18-5-O3-1b_S5,odd3,1,2,2,1,1,
18-5-O3-1br_S29,odd3,1,2,2,2,1,
18-5-O3-1r_S25,odd3,1,2,1,2,1,
18-5-O3-2_S2,odd3,2,2,1,1,1,
18-5-O3-2b_S6,odd3,2,2,2,1,1,
18-5-O3-2br_S30,odd3,2,2,2,2,1,
18-5-O3-2r_S26,odd3,2,2,1,2,1,
18-5-O3-3_S3,odd3,3,2,1,1,1,
18-5-O3-3b_S7,odd3,3,2,2,1,1,
18-5-O3-3br_S31,odd3,3,2,2,2,1,
18-5-O3-3r_S27,odd3,3,2,1,2,1,
18-5-O3-4_S4,odd3,4,2,1,1,1,
18-5-O3-4b_S8,odd3,4,2,2,1,1,
18-5-O3-4br_S32,odd3,4,2,2,2,1,
18-5-O3-4r_S28,odd3,4,2,1,2,1,
26-10-E1-1_S9,even1,1,2,1,1,3,
26-10-E1-1b_S13,even1,1,2,2,1,3,
26-10-E1-1br_S37,even1,1,2,2,2,3,
26-10-E1-1r_S33,even1,1,2,1,2,3,
26-10-E1-2_S10,even1,2,2,1,1,3,
26-10-E1-2b_S14,even1,2,2,2,1,3,
26-10-E1-2br_S38,even1,2,2,2,2,3,
26-10-E1-2r_S34,even1,2,2,1,2,3,
26-10-E1-3_S11,even1,3,2,1,1,3,
26-10-E1-3b_S15,even1,3,2,2,1,3,
